id,ƒ^ƒCƒgƒ‹,ì‹Æ“à—e,”[Šú,”[ŠúŠÔ,"ŠJn—\’è“ú","I—¹—\’è“ú",ƒp[ƒZƒ“ƒe[ƒW,Š®—¹,ŠŠ´,level,top,parent,child,¬‰Ê•¨,ƒe[ƒ},—Dæ“x,“o˜^“ú,•Û—¯,íœ,ŠÔŠÇ—ƒe[ƒ},‡”Ô,¡“ú‚â‚é‚±‚Æ
11,‚Ä‚·‚Æ‚R,‚Ä‚·‚Æ‚R<br>‚Ä‚·‚Æ‚R<br>‚Ä‚·‚Æ‚R,2017/4/2,18:00,2017/4/2,2017/4/2,100,1,"no comment",1,11,0,1,‚Ä‚·‚Æ‚R,0,1,"2017/4/2 7:15",,,0,0,0
12,‚Ä‚·‚Æ‚Q,‚Ä‚·‚Æ‚R<br>‚Ä‚·‚Æ‚R<br>‚Ä‚·‚Æ‚R,2017/4/2,18:00,2017/4/2,2017/4/2,100,1,"no comment",2,11,11,0,‚Ä‚·‚Æ‚R,0,2,"2017/4/2 7:15",,,0,1,0
13,tesuto,tesuto,2017/4/2,18:00,2017/4/2,2017/4/2,100,1,"no comment",1,13,0,2,tesuto,1,1,"2017/4/2 9:55",,,0,0,0
14,tesuto2,tesuto2,2017/4/2,18:00,2017/4/2,2017/4/2,100,1,"no comment",2,13,13,2,tesuto,0,1,"2017/4/2 9:55",,,0,1,0
15,tesuto3,tesuto3,2017/4/2,18:00,2017/4/2,2017/4/2,100,1,"no comment",3,13,14,0,tesuto3,0,1,"2017/4/2 9:55",,,0,2,0
16,tesuto3-2,tesuto3-2,2017/4/2,18:00,2017/4/2,2017/4/2,100,1,"no comment",3,13,14,0,tesuto3-2,0,1,"2017/4/2 9:55",,,0,3,0
17,tesuto2-2,tesuto322,2017/4/2,18:00,2017/4/2,2017/4/2,100,1,"no comment",2,13,13,1,tesuto2-2,0,1,"2017/4/2 9:55",,,0,4,0
18,tesu,tesu,2017/4/2,18:00,2017/4/2,2017/4/2,100,1,"no comment",3,13,17,0,tesu,0,1,"2017/4/2 9:55",,,0,5,0
19,"ƒ\[ƒhƒA[ƒgƒIƒ“ƒ‰ƒCƒ“‚ğ“Ç‚Şchange","ƒ\[ƒhƒA[ƒgƒIƒ“ƒ‰ƒCƒ“‚ğ“Ç‚Ş<br>‚É‚á[",2017/4/3,18:00,2017/4/3,2017/4/3,100,1,"no comment",1,19,0,3,‚È‚µ,1,1,"2017/4/3 18:51",,,0,0,0
20,"ƒ\[ƒhƒA[ƒgƒIƒ“ƒ‰ƒCƒ“‚ğ“Ç‚Ş‚Qchange","ƒ\[ƒhƒA[ƒgƒIƒ“ƒ‰ƒCƒ“‚ğ“Ç‚Ş‚Q",2017/4/3,18:00,2017/4/3,2017/4/3,100,1,"no comment",2,19,19,0,‚È‚µ,0,1,"2017/4/3 18:51",,,0,1,0
21,"ƒ\[ƒhƒA[ƒgƒIƒ“ƒ‰ƒCƒ“‚ğ“Ç‚Ş‚Rchange","ƒ\[ƒhƒA[ƒgƒIƒ“ƒ‰ƒCƒ“‚ğ“Ç‚Ş‚R",2017/4/3,18:00,2017/4/3,2017/4/3,100,1,"no comment",2,19,19,1,,0,1,"2017/4/3 18:51",,,0,2,0
22,"ƒ\[ƒhƒA[ƒgƒIƒ“ƒ‰ƒCƒ“‚ğ“Ç‚Ş‚R|‚Rchange","ƒ\[ƒhƒA[ƒgƒIƒ“ƒ‰ƒCƒ“‚ğ“Ç‚Ş‚R|‚R",2017/4/3,18:00,2017/4/3,2017/4/3,100,1,"no comment",3,19,21,0,,0,1,"2017/4/3 18:51",,,0,3,0
23,"ƒ\[ƒhƒA[ƒgƒIƒ“ƒ‰ƒCƒ“‚ğ“Ç‚Ş‚Schange","ƒ\[ƒhƒA[ƒgƒIƒ“ƒ‰ƒCƒ“‚ğ“Ç‚Ş‚S",2017/4/3,18:00,2017/4/3,2017/4/3,100,1,"no comment",2,19,19,0,‚È‚µ,0,1,"2017/4/3 18:51",,,0,4,0
24,ŠK‘wŠm”F‚P,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",1,24,0,12,ŠK‘wŠm”F,0,1,"2017/4/4 0:14",,0,0,0,0
25,ŠK‘wŠm”F‚Q,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",2,24,24,1,ŠK‘wŠm”F,0,1,"2017/4/4 0:14",,,0,1,0
26,ŠK‘wŠm”F‚R,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",3,24,25,0,ŠK‘wŠm”F,0,1,"2017/4/4 0:14",,,0,2,0
27,ŠK‘wŠm”F2,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",2,24,24,4,ŠK‘wŠm”F,0,1,"2017/4/4 0:14",,,0,3,0
28,ŠK‘wŠm”F‚R,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",4,24,26,0,ŠK‘wŠm”F,0,1,"2017/4/4 0:14",,,0,4,0
29,ŠK‘wŠm”F‚Q,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",2,24,24,2,ŠK‘wŠm”F,0,1,"2017/4/4 0:14",,,0,5,0
30,ŠK‘wŠm”F‚R,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",3,24,29,0,ŠK‘wŠm”F,0,1,"2017/4/4 0:14",,,0,6,0
31,ŠK‘wŠm”F‚R,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",3,24,29,1,ŠK‘wŠm”F,0,1,"2017/4/4 0:14",1,,0,7,0
32,ŠK‘wŠm”F‚S,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",4,24,31,0,,0,1,"2017/4/4 0:14",1,,0,8,0
33,ŠK‘wŠm”F‚Q,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",2,24,24,4,ŠK‘wŠm”F,0,1,"2017/4/4 0:14",1,,0,9,0
34,‚¤‚³‚¬‚¤‚³‚¬,‚¤‚³‚¬,2017/4/5,18:00,2017/4/5,2017/4/5,100,1,"no comment",1,34,0,0,‚¤‚³‚¬,0,1,"2017/4/5 22:53",0,,0,0,0
35,‚¤‚³‚¬,‚¤‚³‚¬,2017/4/5,18:00,2017/4/5,2017/4/5,100,1,"no comment",1,35,0,0,‚¤‚³‚¬,0,1,"2017/4/5 22:54",0,,0,0,0
36,[change]ŠK‘wŠm”F‚P,ŠK‘wŠm”F,2017/4/5,18:00,2017/4/5,2017/4/5,105,0,"no comment",1,36,0,2,ŠK‘wŠm”F,0,1,"2017/4/5 22:54",0,0,0,0,0
37,[change]ŠK‘wŠm”F‚Q,ŠK‘wŠm”F,2017/4/5,18:00,2017/4/5,2017/4/5,10,0,"no comment",2,36,36,1,ŠK‘wŠm”F,0,1,"2017/4/5 22:54",0,0,,1,0
38,[change]ŠK‘wŠm”F‚R,ŠK‘wŠm”F,2017/4/5,18:00,2017/4/5,2017/4/5,10,0,"no comment",3,36,37,0,ŠK‘wŠm”F,0,1,"2017/4/5 22:54",1,0,,2,0
39,[change]ŠK‘wŠm”F2,ŠK‘wŠm”F,2017/4/5,18:00,2017/4/5,2017/4/5,100,1,"no comment",2,36,36,1,ŠK‘wŠm”F,0,1,"2017/4/5 22:54",0,0,,3,0
40,[change]ŠK‘wŠm”F‚R,ŠK‘wŠm”F,2017/4/5,18:00,2017/4/5,2017/4/5,100,1,"no comment",3,36,39,1,ŠK‘wŠm”F,0,1,"2017/4/5 22:54",0,0,,4,0
41,[change]ŠK‘wŠm”F‚Q,ŠK‘wŠm”F,2017/4/5,18:00,2017/4/5,2017/4/5,100,1,"no comment",2,36,36,2,ŠK‘wŠm”F,0,1,"2017/4/5 22:54",0,1,0,0,0
42,[change]ŠK‘wŠm”F‚R,ŠK‘wŠm”F,2017/4/5,18:00,2017/4/5,2017/4/5,100,1,"no comment",3,36,41,0,ŠK‘wŠm”F,0,1,"2017/4/5 22:54",1,1,0,0,0
43,[change]ŠK‘wŠm”F‚R,ŠK‘wŠm”F,2017/4/5,18:00,2017/4/5,2017/4/5,100,1,"no comment",3,36,41,1,ŠK‘wŠm”F,0,1,"2017/4/5 22:54",0,1,0,0,0
44,[change]ŠK‘wŠm”F‚S,ŠK‘wŠm”F,2017/4/5,18:00,2017/4/5,2017/4/5,100,1,"no comment",4,36,43,0,,0,1,"2017/4/5 22:54",0,1,0,0,0
45,[change]ŠK‘wŠm”F‚Q,ŠK‘wŠm”F,2017/4/5,18:00,2017/4/5,2017/4/5,100,1,"no comment",4,36,40,0,ŠK‘wŠm”F,0,1,"2017/4/5 22:54",0,0,,5,0
46,•”‰®‚Ì•Ğ‚Ã‚¯,•”‰®‚Ì•Ğ‚Ã‚¯l‚ª“ü‚ê‚é‚æ‚¤‚É,2017/4/15,23:15,2017/4/5,2017/4/15,100,1,"no comment",2,4,4,0,,0,1,"2017/4/14 4:35",0,0,0,1,0
47,–{’I‚Ì’I‰µ,–{’I‚ğ‰ñû‚Å‚«‚é‚æ‚¤‚É,2017/4/15,23:15,2017/4/5,2017/4/15,100,1,"no comment",2,4,4,0,,0,1,"2017/4/14 4:35",0,0,0,2,0
48,à–¾‘‚³‚ª‚µ,‚ ‚é‚ç‚µ‚¢,2017/4/15,23:00,2017/4/5,2017/4/15,100,1,"no comment",2,4,4,0,,0,1,"2017/4/14 4:35",0,0,0,3,0
49,‰ñû‚µ‚Ä‚à‚ç‚¤,“y—j“ú‚Ì10-12‚¾‚Á‚Ä,2017/4/15,23:00,2017/4/5,2017/4/15,100,1,"no comment",2,4,4,0,,0,1,"2017/4/14 4:35",0,0,0,4,0
50,ŠK‘wŠm”F‚P,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",2,24,24,4,ŠK‘wŠm”F,0,1,"2017/4/16 0:44",0,0,0,10,0
51,ŠK‘wŠm”F‚Q,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",2,24,50,1,ŠK‘wŠm”F,0,1,"2017/4/16 0:44",0,0,0,11,0
52,ŠK‘wŠm”F‚R,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",3,24,51,0,ŠK‘wŠm”F,0,1,"2017/4/16 0:44",0,0,0,12,0
53,ŠK‘wŠm”F2,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",2,24,50,0,ŠK‘wŠm”F,0,1,"2017/4/16 0:44",0,0,0,13,0
54,ŠK‘wŠm”F‚R,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",4,24,52,0,ŠK‘wŠm”F,0,1,"2017/4/16 0:44",0,0,0,14,0
55,ŠK‘wŠm”F‚Q,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",2,24,50,2,ŠK‘wŠm”F,0,1,"2017/4/16 0:44",0,0,0,15,0
56,ŠK‘wŠm”F‚R,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",3,24,55,0,ŠK‘wŠm”F,0,1,"2017/4/16 0:44",0,0,0,16,0
57,ŠK‘wŠm”F‚R,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",3,24,55,0,ŠK‘wŠm”F,0,1,"2017/4/16 0:44",0,0,0,17,0
58,ŠK‘wŠm”F‚Q,ŠK‘wŠm”F‚Q,2017/5/1,3:45,2017/4/19,2017/4/30,100,1,"no comment",2,24,50,0,ŠK‘wŠm”F‚Q,0,1,"2017/4/16 0:44",0,0,0,18,0
59,ŠK‘wŠm”F‚P,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",2,24,24,4,ŠK‘wŠm”F,0,1,"2017/4/16 0:45",0,0,0,19,0
60,ŠK‘wŠm”F‚Q,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",2,24,59,1,ŠK‘wŠm”F,0,1,"2017/4/16 0:45",0,0,0,20,0
61,ŠK‘wŠm”F‚R,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",3,24,60,0,ŠK‘wŠm”F,0,1,"2017/4/16 0:45",0,0,0,21,0
62,ŠK‘wŠm”F2,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",2,24,59,0,ŠK‘wŠm”F,0,1,"2017/4/16 0:45",0,0,0,22,0
63,ŠK‘wŠm”F‚R,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",4,24,61,0,ŠK‘wŠm”F,0,1,"2017/4/16 0:45",0,0,0,23,0
64,ŠK‘wŠm”F‚Q,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",2,24,59,2,ŠK‘wŠm”F,0,1,"2017/4/16 0:45",0,0,0,24,0
65,ŠK‘wŠm”F‚R,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",3,24,64,0,ŠK‘wŠm”F,0,1,"2017/4/16 0:45",0,0,0,25,0
66,ŠK‘wŠm”F‚R,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",3,24,64,0,ŠK‘wŠm”F,0,1,"2017/4/16 0:45",0,0,0,26,0
67,ŠK‘wŠm”F‚Q,ŠK‘wŠm”F‚Q,2017/5/1,3:45,2017/4/19,2017/4/30,100,1,"no comment",2,24,59,0,ŠK‘wŠm”F‚Q,0,1,"2017/4/16 0:45",0,0,0,27,0
68,ŠK‘wŠm”F‚P,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",2,24,4,0,ŠK‘wŠm”F,0,1,"2017/4/16 0:47",0,0,0,28,0
69,ŠK‘wŠm”F‚Q,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",2,24,68,1,ŠK‘wŠm”F,0,1,"2017/4/16 0:47",0,0,0,29,0
70,ŠK‘wŠm”F‚R,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",3,24,69,0,ŠK‘wŠm”F,0,1,"2017/4/16 0:47",0,0,0,30,0
71,ŠK‘wŠm”F2,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",2,24,68,0,ŠK‘wŠm”F,0,1,"2017/4/16 0:47",0,0,0,31,0
72,ŠK‘wŠm”F‚R,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",4,24,70,0,ŠK‘wŠm”F,0,1,"2017/4/16 0:47",0,0,0,32,0
73,ŠK‘wŠm”F‚Q,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",2,24,68,2,ŠK‘wŠm”F,0,1,"2017/4/16 0:47",0,0,0,33,0
74,ŠK‘wŠm”F‚R,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",3,24,73,0,ŠK‘wŠm”F,0,1,"2017/4/16 0:47",0,0,0,34,0
75,ŠK‘wŠm”F‚R,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",3,24,73,0,ŠK‘wŠm”F,0,1,"2017/4/16 0:47",0,0,0,35,0
76,ŠK‘wŠm”F‚Q,ŠK‘wŠm”F‚Q,2017/5/1,3:45,2017/4/19,2017/4/30,100,1,"no comment",2,24,68,0,ŠK‘wŠm”F‚Q,0,1,"2017/4/16 0:47",0,0,0,36,0
77,ŠK‘wŠm”F‚P,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",2,24,24,4,ŠK‘wŠm”F,0,1,"2017/4/16 0:48",0,0,0,37,0
78,ŠK‘wŠm”F‚Q,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",2,24,77,1,ŠK‘wŠm”F,0,1,"2017/4/16 0:48",0,0,0,38,0
79,ŠK‘wŠm”F‚R,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",3,24,78,0,ŠK‘wŠm”F,0,1,"2017/4/16 0:48",0,0,0,39,0
80,ŠK‘wŠm”F2,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",2,24,77,0,ŠK‘wŠm”F,0,1,"2017/4/16 0:48",0,0,0,40,0
81,ŠK‘wŠm”F‚R,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",4,24,79,0,ŠK‘wŠm”F,0,1,"2017/4/16 0:48",0,0,0,41,0
82,ŠK‘wŠm”F‚Q,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",2,24,77,2,ŠK‘wŠm”F,0,1,"2017/4/16 0:48",0,0,0,42,0
83,ŠK‘wŠm”F‚R,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",3,24,82,0,ŠK‘wŠm”F,0,1,"2017/4/16 0:48",0,0,0,43,0
84,ŠK‘wŠm”F‚R,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",3,24,82,0,ŠK‘wŠm”F,0,1,"2017/4/16 0:48",0,0,0,44,0
85,ŠK‘wŠm”F‚Q,ŠK‘wŠm”F‚Q,2017/5/1,3:45,2017/4/19,2017/4/30,100,1,"no comment",2,24,77,0,ŠK‘wŠm”F‚Q,0,1,"2017/4/16 0:48",0,0,0,45,0
86,ŠK‘wŠm”F‚P,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",2,24,24,4,ŠK‘wŠm”F,0,1,"2017/4/16 0:48",0,0,0,46,0
87,ŠK‘wŠm”F‚Q,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",2,24,86,1,ŠK‘wŠm”F,0,1,"2017/4/16 0:48",0,0,0,47,0
88,ŠK‘wŠm”F‚R,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",3,24,87,0,ŠK‘wŠm”F,0,1,"2017/4/16 0:48",0,0,0,48,0
89,ŠK‘wŠm”F2,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",2,24,86,0,ŠK‘wŠm”F,0,1,"2017/4/16 0:48",0,0,0,49,0
90,ŠK‘wŠm”F‚R,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",4,24,88,0,ŠK‘wŠm”F,0,1,"2017/4/16 0:48",0,0,0,50,0
91,ŠK‘wŠm”F‚Q,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",2,24,86,2,ŠK‘wŠm”F,0,1,"2017/4/16 0:48",0,0,0,51,0
92,ŠK‘wŠm”F‚R,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",3,24,91,0,ŠK‘wŠm”F,0,1,"2017/4/16 0:48",0,0,0,52,0
93,ŠK‘wŠm”F‚R,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",3,24,91,0,ŠK‘wŠm”F,0,1,"2017/4/16 0:48",0,0,0,53,0
94,ŠK‘wŠm”F‚Q,ŠK‘wŠm”F‚Q,2017/5/1,3:45,2017/4/19,2017/4/30,100,1,"no comment",2,24,86,0,ŠK‘wŠm”F‚Q,0,1,"2017/4/16 0:48",0,0,0,54,0
95,ŠK‘wŠm”F‚P,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",2,24,4,0,ŠK‘wŠm”F,0,1,"2017/4/16 0:48",0,0,0,55,0
96,ŠK‘wŠm”F‚Q,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",2,24,95,1,ŠK‘wŠm”F,0,1,"2017/4/16 0:48",0,0,0,56,0
97,ŠK‘wŠm”F‚R,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",3,24,96,0,ŠK‘wŠm”F,0,1,"2017/4/16 0:48",0,0,0,57,0
98,ŠK‘wŠm”F2,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",2,24,95,0,ŠK‘wŠm”F,0,1,"2017/4/16 0:48",0,0,0,58,0
99,ŠK‘wŠm”F‚R,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",4,24,97,0,ŠK‘wŠm”F,0,1,"2017/4/16 0:48",0,0,0,59,0
100,ŠK‘wŠm”F‚Q,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",2,24,95,2,ŠK‘wŠm”F,0,1,"2017/4/16 0:48",0,0,0,60,0
101,ŠK‘wŠm”F‚R,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",3,24,100,0,ŠK‘wŠm”F,0,1,"2017/4/16 0:48",0,0,0,61,0
102,ŠK‘wŠm”F‚R,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",3,24,100,0,ŠK‘wŠm”F,0,1,"2017/4/16 0:48",0,0,0,62,0
103,ŠK‘wŠm”F‚Q,ŠK‘wŠm”F‚Q,2017/5/1,3:45,2017/4/19,2017/4/30,100,1,"no comment",2,24,95,0,ŠK‘wŠm”F‚Q,0,1,"2017/4/16 0:48",0,0,0,63,0
104,ŠK‘wŠm”F‚P,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",2,24,24,4,ŠK‘wŠm”F,0,1,"2017/4/16 0:49",0,0,0,64,0
105,ŠK‘wŠm”F‚Q,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",2,24,104,1,ŠK‘wŠm”F,0,1,"2017/4/16 0:49",0,0,0,65,0
106,ŠK‘wŠm”F‚R,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",3,24,105,0,ŠK‘wŠm”F,0,1,"2017/4/16 0:49",0,0,0,66,0
107,ŠK‘wŠm”F2,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",2,24,104,0,ŠK‘wŠm”F,0,1,"2017/4/16 0:49",0,0,0,67,0
108,ŠK‘wŠm”F‚R,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",4,24,106,0,ŠK‘wŠm”F,0,1,"2017/4/16 0:49",0,0,0,68,0
109,ŠK‘wŠm”F‚Q,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",2,24,104,2,ŠK‘wŠm”F,0,1,"2017/4/16 0:49",0,0,0,69,0
110,ŠK‘wŠm”F‚R,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",3,24,109,0,ŠK‘wŠm”F,0,1,"2017/4/16 0:49",0,0,0,70,0
111,ŠK‘wŠm”F‚R,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",3,24,109,0,ŠK‘wŠm”F,0,1,"2017/4/16 0:49",0,0,0,71,0
112,ŠK‘wŠm”F‚Q,ŠK‘wŠm”F‚Q,2017/5/1,3:45,2017/4/19,2017/4/30,100,1,"no comment",2,24,104,0,ŠK‘wŠm”F‚Q,0,1,"2017/4/16 0:49",0,0,0,72,0
113,ŠK‘wŠm”F‚P,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",2,24,24,4,ŠK‘wŠm”F,0,1,"2017/4/16 0:49",0,0,0,73,0
