id,ƒ^ƒCƒgƒ‹,ì‹Æ“à—e,”[Šú,”[ŠúŠÔ,"ŠJn—\’è“ú","I—¹—\’è“ú",ƒp[ƒZƒ“ƒe[ƒW,Š®—¹,ŠŠ´,level,top,parent,child,¬‰Ê•¨,ƒe[ƒ},—Dæ“x,“o˜^“ú,•Û—¯,íœ,ŠÔŠÇ—ƒe[ƒ},‡”Ô
11,‚Ä‚·‚Æ‚R,‚Ä‚·‚Æ‚R<br>‚Ä‚·‚Æ‚R<br>‚Ä‚·‚Æ‚R,2017/4/2,18:00,2017/4/2,2017/4/2,100,1,"no comment",1,11,0,1,‚Ä‚·‚Æ‚R,0,1,"2017/4/2 7:15",,,0,0
12,‚Ä‚·‚Æ‚Q,‚Ä‚·‚Æ‚R<br>‚Ä‚·‚Æ‚R<br>‚Ä‚·‚Æ‚R,2017/4/2,18:00,2017/4/2,2017/4/2,100,1,"no comment",2,11,11,0,‚Ä‚·‚Æ‚R,0,2,"2017/4/2 7:15",,,0,1
13,tesuto,tesuto,2017/4/2,18:00,2017/4/2,2017/4/2,100,1,"no comment",1,13,0,2,tesuto,1,1,"2017/4/2 9:55",,,0,0
14,tesuto2,tesuto2,2017/4/2,18:00,2017/4/2,2017/4/2,100,1,"no comment",2,13,13,2,tesuto,0,1,"2017/4/2 9:55",,,0,1
15,tesuto3,tesuto3,2017/4/2,18:00,2017/4/2,2017/4/2,100,1,"no comment",3,13,14,0,tesuto3,0,1,"2017/4/2 9:55",,,0,2
16,tesuto3-2,tesuto3-2,2017/4/2,18:00,2017/4/2,2017/4/2,100,1,"no comment",3,13,14,0,tesuto3-2,0,1,"2017/4/2 9:55",,,0,3
17,tesuto2-2,tesuto322,2017/4/2,18:00,2017/4/2,2017/4/2,100,1,"no comment",2,13,13,1,tesuto2-2,0,1,"2017/4/2 9:55",,,0,4
18,tesu,tesu,2017/4/2,18:00,2017/4/2,2017/4/2,100,1,"no comment",3,13,17,0,tesu,0,1,"2017/4/2 9:55",,,0,5
19,"ƒ\[ƒhƒA[ƒgƒIƒ“ƒ‰ƒCƒ“‚ğ“Ç‚Şchange","ƒ\[ƒhƒA[ƒgƒIƒ“ƒ‰ƒCƒ“‚ğ“Ç‚Ş<br>‚É‚á[",2017/4/3,18:00,2017/4/3,2017/4/3,100,1,"no comment",1,19,0,3,‚È‚µ,1,1,"2017/4/3 18:51",,,0,0
20,"ƒ\[ƒhƒA[ƒgƒIƒ“ƒ‰ƒCƒ“‚ğ“Ç‚Ş‚Qchange","ƒ\[ƒhƒA[ƒgƒIƒ“ƒ‰ƒCƒ“‚ğ“Ç‚Ş‚Q",2017/4/3,18:00,2017/4/3,2017/4/3,100,1,"no comment",2,19,19,0,‚È‚µ,0,1,"2017/4/3 18:51",,,0,1
21,"ƒ\[ƒhƒA[ƒgƒIƒ“ƒ‰ƒCƒ“‚ğ“Ç‚Ş‚Rchange","ƒ\[ƒhƒA[ƒgƒIƒ“ƒ‰ƒCƒ“‚ğ“Ç‚Ş‚R",2017/4/3,18:00,2017/4/3,2017/4/3,100,1,"no comment",2,19,19,1,,0,1,"2017/4/3 18:51",,,0,2
22,"ƒ\[ƒhƒA[ƒgƒIƒ“ƒ‰ƒCƒ“‚ğ“Ç‚Ş‚R|‚Rchange","ƒ\[ƒhƒA[ƒgƒIƒ“ƒ‰ƒCƒ“‚ğ“Ç‚Ş‚R|‚R",2017/4/3,18:00,2017/4/3,2017/4/3,100,1,"no comment",3,19,21,0,,0,1,"2017/4/3 18:51",,,0,3
23,"ƒ\[ƒhƒA[ƒgƒIƒ“ƒ‰ƒCƒ“‚ğ“Ç‚Ş‚Schange","ƒ\[ƒhƒA[ƒgƒIƒ“ƒ‰ƒCƒ“‚ğ“Ç‚Ş‚S",2017/4/3,18:00,2017/4/3,2017/4/3,100,1,"no comment",2,19,19,0,‚È‚µ,0,1,"2017/4/3 18:51",,,0,4
24,ŠK‘wŠm”F‚P,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",1,24,0,12,ŠK‘wŠm”F,0,1,"2017/4/4 0:14",,0,0,0
25,ŠK‘wŠm”F‚Q,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",2,24,24,1,ŠK‘wŠm”F,0,1,"2017/4/4 0:14",,,0,1
26,ŠK‘wŠm”F‚R,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",3,24,25,0,ŠK‘wŠm”F,0,1,"2017/4/4 0:14",,,0,2
27,ŠK‘wŠm”F2,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",2,24,24,4,ŠK‘wŠm”F,0,1,"2017/4/4 0:14",,,0,3
28,ŠK‘wŠm”F‚R,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",4,24,26,0,ŠK‘wŠm”F,0,1,"2017/4/4 0:14",,,0,4
29,ŠK‘wŠm”F‚Q,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",2,24,24,2,ŠK‘wŠm”F,0,1,"2017/4/4 0:14",,,0,5
30,ŠK‘wŠm”F‚R,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",3,24,29,0,ŠK‘wŠm”F,0,1,"2017/4/4 0:14",,,0,6
31,ŠK‘wŠm”F‚R,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",3,24,29,1,ŠK‘wŠm”F,0,1,"2017/4/4 0:14",1,,0,7
32,ŠK‘wŠm”F‚S,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",4,24,31,0,,0,1,"2017/4/4 0:14",1,,0,8
33,ŠK‘wŠm”F‚Q,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",2,24,24,4,ŠK‘wŠm”F,0,1,"2017/4/4 0:14",1,,0,9
34,‚¤‚³‚¬‚¤‚³‚¬,‚¤‚³‚¬,2017/4/5,18:00,2017/4/5,2017/4/5,100,1,"no comment",1,34,0,0,‚¤‚³‚¬,0,1,"2017/4/5 22:53",0,,0,0
35,‚¤‚³‚¬,‚¤‚³‚¬,2017/4/5,18:00,2017/4/5,2017/4/5,100,1,"no comment",1,35,0,0,‚¤‚³‚¬,0,1,"2017/4/5 22:54",0,,0,0
36,[change]ŠK‘wŠm”F‚P,ŠK‘wŠm”F,2017/4/5,18:00,2017/4/5,2017/4/5,105,0,"no comment",1,36,0,2,ŠK‘wŠm”F,0,1,"2017/4/5 22:54",0,0,0,0
37,[change]ŠK‘wŠm”F‚Q,ŠK‘wŠm”F,2017/4/5,18:00,2017/4/5,2017/4/5,10,0,"no comment",2,36,36,1,ŠK‘wŠm”F,0,1,"2017/4/5 22:54",0,0,,1
38,[change]ŠK‘wŠm”F‚R,ŠK‘wŠm”F,2017/4/5,18:00,2017/4/5,2017/4/5,10,0,"no comment",3,36,37,0,ŠK‘wŠm”F,0,1,"2017/4/5 22:54",1,0,,2
39,[change]ŠK‘wŠm”F2,ŠK‘wŠm”F,2017/4/5,18:00,2017/4/5,2017/4/5,100,1,"no comment",2,36,36,1,ŠK‘wŠm”F,0,1,"2017/4/5 22:54",0,0,,3
40,[change]ŠK‘wŠm”F‚R,ŠK‘wŠm”F,2017/4/5,18:00,2017/4/5,2017/4/5,100,1,"no comment",3,36,39,1,ŠK‘wŠm”F,0,1,"2017/4/5 22:54",0,0,,4
41,[change]ŠK‘wŠm”F‚Q,ŠK‘wŠm”F,2017/4/5,18:00,2017/4/5,2017/4/5,100,1,"no comment",2,36,36,2,ŠK‘wŠm”F,0,1,"2017/4/5 22:54",0,1,0,0
42,[change]ŠK‘wŠm”F‚R,ŠK‘wŠm”F,2017/4/5,18:00,2017/4/5,2017/4/5,100,1,"no comment",3,36,41,0,ŠK‘wŠm”F,0,1,"2017/4/5 22:54",1,1,0,0
43,[change]ŠK‘wŠm”F‚R,ŠK‘wŠm”F,2017/4/5,18:00,2017/4/5,2017/4/5,100,1,"no comment",3,36,41,1,ŠK‘wŠm”F,0,1,"2017/4/5 22:54",0,1,0,0
44,[change]ŠK‘wŠm”F‚S,ŠK‘wŠm”F,2017/4/5,18:00,2017/4/5,2017/4/5,100,1,"no comment",4,36,43,0,,0,1,"2017/4/5 22:54",0,1,0,0
45,[change]ŠK‘wŠm”F‚Q,ŠK‘wŠm”F,2017/4/5,18:00,2017/4/5,2017/4/5,100,1,"no comment",4,36,40,0,ŠK‘wŠm”F,0,1,"2017/4/5 22:54",0,0,,5
46,•”‰®‚Ì•Ğ‚Ã‚¯,•”‰®‚Ì•Ğ‚Ã‚¯l‚ª“ü‚ê‚é‚æ‚¤‚É,2017/4/15,23:15,2017/4/5,2017/4/15,100,1,"no comment",2,4,4,0,,0,1,"2017/4/14 4:35",0,0,0,1
47,–{’I‚Ì’I‰µ,–{’I‚ğ‰ñû‚Å‚«‚é‚æ‚¤‚É,2017/4/15,23:15,2017/4/5,2017/4/15,100,1,"no comment",2,4,4,0,,0,1,"2017/4/14 4:35",0,0,0,2
48,à–¾‘‚³‚ª‚µ,‚ ‚é‚ç‚µ‚¢,2017/4/15,23:00,2017/4/5,2017/4/15,100,1,"no comment",2,4,4,0,,0,1,"2017/4/14 4:35",0,0,0,3
49,‰ñû‚µ‚Ä‚à‚ç‚¤,“y—j“ú‚Ì10-12‚¾‚Á‚Ä,2017/4/15,23:00,2017/4/5,2017/4/15,100,1,"no comment",2,4,4,0,,0,1,"2017/4/14 4:35",0,0,0,4
50,ŠK‘wŠm”F‚P,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",2,24,24,4,ŠK‘wŠm”F,0,1,"2017/4/16 0:44",0,0,0,10
51,ŠK‘wŠm”F‚Q,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",2,24,50,1,ŠK‘wŠm”F,0,1,"2017/4/16 0:44",0,0,0,11
52,ŠK‘wŠm”F‚R,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",3,24,51,0,ŠK‘wŠm”F,0,1,"2017/4/16 0:44",0,0,0,12
53,ŠK‘wŠm”F2,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",2,24,50,0,ŠK‘wŠm”F,0,1,"2017/4/16 0:44",0,0,0,13
54,ŠK‘wŠm”F‚R,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",4,24,52,0,ŠK‘wŠm”F,0,1,"2017/4/16 0:44",0,0,0,14
55,ŠK‘wŠm”F‚Q,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",2,24,50,2,ŠK‘wŠm”F,0,1,"2017/4/16 0:44",0,0,0,15
56,ŠK‘wŠm”F‚R,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",3,24,55,0,ŠK‘wŠm”F,0,1,"2017/4/16 0:44",0,0,0,16
57,ŠK‘wŠm”F‚R,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",3,24,55,0,ŠK‘wŠm”F,0,1,"2017/4/16 0:44",0,0,0,17
58,ŠK‘wŠm”F‚Q,ŠK‘wŠm”F‚Q,2017/5/1,3:45,2017/4/19,2017/4/30,100,1,"no comment",2,24,50,0,ŠK‘wŠm”F‚Q,0,1,"2017/4/16 0:44",0,0,0,18
59,ŠK‘wŠm”F‚P,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",2,24,24,4,ŠK‘wŠm”F,0,1,"2017/4/16 0:45",0,0,0,19
60,ŠK‘wŠm”F‚Q,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",2,24,59,1,ŠK‘wŠm”F,0,1,"2017/4/16 0:45",0,0,0,20
61,ŠK‘wŠm”F‚R,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",3,24,60,0,ŠK‘wŠm”F,0,1,"2017/4/16 0:45",0,0,0,21
62,ŠK‘wŠm”F2,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",2,24,59,0,ŠK‘wŠm”F,0,1,"2017/4/16 0:45",0,0,0,22
63,ŠK‘wŠm”F‚R,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",4,24,61,0,ŠK‘wŠm”F,0,1,"2017/4/16 0:45",0,0,0,23
64,ŠK‘wŠm”F‚Q,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",2,24,59,2,ŠK‘wŠm”F,0,1,"2017/4/16 0:45",0,0,0,24
65,ŠK‘wŠm”F‚R,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",3,24,64,0,ŠK‘wŠm”F,0,1,"2017/4/16 0:45",0,0,0,25
66,ŠK‘wŠm”F‚R,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",3,24,64,0,ŠK‘wŠm”F,0,1,"2017/4/16 0:45",0,0,0,26
67,ŠK‘wŠm”F‚Q,ŠK‘wŠm”F‚Q,2017/5/1,3:45,2017/4/19,2017/4/30,100,1,"no comment",2,24,59,0,ŠK‘wŠm”F‚Q,0,1,"2017/4/16 0:45",0,0,0,27
68,ŠK‘wŠm”F‚P,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",2,24,4,0,ŠK‘wŠm”F,0,1,"2017/4/16 0:47",0,0,0,28
69,ŠK‘wŠm”F‚Q,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",2,24,68,1,ŠK‘wŠm”F,0,1,"2017/4/16 0:47",0,0,0,29
70,ŠK‘wŠm”F‚R,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",3,24,69,0,ŠK‘wŠm”F,0,1,"2017/4/16 0:47",0,0,0,30
71,ŠK‘wŠm”F2,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",2,24,68,0,ŠK‘wŠm”F,0,1,"2017/4/16 0:47",0,0,0,31
72,ŠK‘wŠm”F‚R,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",4,24,70,0,ŠK‘wŠm”F,0,1,"2017/4/16 0:47",0,0,0,32
73,ŠK‘wŠm”F‚Q,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",2,24,68,2,ŠK‘wŠm”F,0,1,"2017/4/16 0:47",0,0,0,33
74,ŠK‘wŠm”F‚R,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",3,24,73,0,ŠK‘wŠm”F,0,1,"2017/4/16 0:47",0,0,0,34
75,ŠK‘wŠm”F‚R,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",3,24,73,0,ŠK‘wŠm”F,0,1,"2017/4/16 0:47",0,0,0,35
76,ŠK‘wŠm”F‚Q,ŠK‘wŠm”F‚Q,2017/5/1,3:45,2017/4/19,2017/4/30,100,1,"no comment",2,24,68,0,ŠK‘wŠm”F‚Q,0,1,"2017/4/16 0:47",0,0,0,36
77,ŠK‘wŠm”F‚P,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",2,24,24,4,ŠK‘wŠm”F,0,1,"2017/4/16 0:48",0,0,0,37
78,ŠK‘wŠm”F‚Q,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",2,24,77,1,ŠK‘wŠm”F,0,1,"2017/4/16 0:48",0,0,0,38
79,ŠK‘wŠm”F‚R,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",3,24,78,0,ŠK‘wŠm”F,0,1,"2017/4/16 0:48",0,0,0,39
80,ŠK‘wŠm”F2,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",2,24,77,0,ŠK‘wŠm”F,0,1,"2017/4/16 0:48",0,0,0,40
81,ŠK‘wŠm”F‚R,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",4,24,79,0,ŠK‘wŠm”F,0,1,"2017/4/16 0:48",0,0,0,41
82,ŠK‘wŠm”F‚Q,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",2,24,77,2,ŠK‘wŠm”F,0,1,"2017/4/16 0:48",0,0,0,42
83,ŠK‘wŠm”F‚R,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",3,24,82,0,ŠK‘wŠm”F,0,1,"2017/4/16 0:48",0,0,0,43
84,ŠK‘wŠm”F‚R,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",3,24,82,0,ŠK‘wŠm”F,0,1,"2017/4/16 0:48",0,0,0,44
85,ŠK‘wŠm”F‚Q,ŠK‘wŠm”F‚Q,2017/5/1,3:45,2017/4/19,2017/4/30,100,1,"no comment",2,24,77,0,ŠK‘wŠm”F‚Q,0,1,"2017/4/16 0:48",0,0,0,45
86,ŠK‘wŠm”F‚P,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",2,24,24,4,ŠK‘wŠm”F,0,1,"2017/4/16 0:48",0,0,0,46
87,ŠK‘wŠm”F‚Q,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",2,24,86,1,ŠK‘wŠm”F,0,1,"2017/4/16 0:48",0,0,0,47
88,ŠK‘wŠm”F‚R,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",3,24,87,0,ŠK‘wŠm”F,0,1,"2017/4/16 0:48",0,0,0,48
89,ŠK‘wŠm”F2,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",2,24,86,0,ŠK‘wŠm”F,0,1,"2017/4/16 0:48",0,0,0,49
90,ŠK‘wŠm”F‚R,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",4,24,88,0,ŠK‘wŠm”F,0,1,"2017/4/16 0:48",0,0,0,50
91,ŠK‘wŠm”F‚Q,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",2,24,86,2,ŠK‘wŠm”F,0,1,"2017/4/16 0:48",0,0,0,51
92,ŠK‘wŠm”F‚R,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",3,24,91,0,ŠK‘wŠm”F,0,1,"2017/4/16 0:48",0,0,0,52
93,ŠK‘wŠm”F‚R,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",3,24,91,0,ŠK‘wŠm”F,0,1,"2017/4/16 0:48",0,0,0,53
94,ŠK‘wŠm”F‚Q,ŠK‘wŠm”F‚Q,2017/5/1,3:45,2017/4/19,2017/4/30,100,1,"no comment",2,24,86,0,ŠK‘wŠm”F‚Q,0,1,"2017/4/16 0:48",0,0,0,54
95,ŠK‘wŠm”F‚P,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",2,24,4,0,ŠK‘wŠm”F,0,1,"2017/4/16 0:48",0,0,0,55
96,ŠK‘wŠm”F‚Q,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",2,24,95,1,ŠK‘wŠm”F,0,1,"2017/4/16 0:48",0,0,0,56
97,ŠK‘wŠm”F‚R,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",3,24,96,0,ŠK‘wŠm”F,0,1,"2017/4/16 0:48",0,0,0,57
98,ŠK‘wŠm”F2,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",2,24,95,0,ŠK‘wŠm”F,0,1,"2017/4/16 0:48",0,0,0,58
99,ŠK‘wŠm”F‚R,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",4,24,97,0,ŠK‘wŠm”F,0,1,"2017/4/16 0:48",0,0,0,59
100,ŠK‘wŠm”F‚Q,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",2,24,95,2,ŠK‘wŠm”F,0,1,"2017/4/16 0:48",0,0,0,60
101,ŠK‘wŠm”F‚R,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",3,24,100,0,ŠK‘wŠm”F,0,1,"2017/4/16 0:48",0,0,0,61
102,ŠK‘wŠm”F‚R,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",3,24,100,0,ŠK‘wŠm”F,0,1,"2017/4/16 0:48",0,0,0,62
103,ŠK‘wŠm”F‚Q,ŠK‘wŠm”F‚Q,2017/5/1,3:45,2017/4/19,2017/4/30,100,1,"no comment",2,24,95,0,ŠK‘wŠm”F‚Q,0,1,"2017/4/16 0:48",0,0,0,63
104,ŠK‘wŠm”F‚P,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",2,24,24,4,ŠK‘wŠm”F,0,1,"2017/4/16 0:49",0,0,0,64
105,ŠK‘wŠm”F‚Q,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",2,24,104,1,ŠK‘wŠm”F,0,1,"2017/4/16 0:49",0,0,0,65
106,ŠK‘wŠm”F‚R,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",3,24,105,0,ŠK‘wŠm”F,0,1,"2017/4/16 0:49",0,0,0,66
107,ŠK‘wŠm”F2,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",2,24,104,0,ŠK‘wŠm”F,0,1,"2017/4/16 0:49",0,0,0,67
108,ŠK‘wŠm”F‚R,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",4,24,106,0,ŠK‘wŠm”F,0,1,"2017/4/16 0:49",0,0,0,68
109,ŠK‘wŠm”F‚Q,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",2,24,104,2,ŠK‘wŠm”F,0,1,"2017/4/16 0:49",0,0,0,69
110,ŠK‘wŠm”F‚R,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",3,24,109,0,ŠK‘wŠm”F,0,1,"2017/4/16 0:49",0,0,0,70
111,ŠK‘wŠm”F‚R,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",3,24,109,0,ŠK‘wŠm”F,0,1,"2017/4/16 0:49",0,0,0,71
112,ŠK‘wŠm”F‚Q,ŠK‘wŠm”F‚Q,2017/5/1,3:45,2017/4/19,2017/4/30,100,1,"no comment",2,24,104,0,ŠK‘wŠm”F‚Q,0,1,"2017/4/16 0:49",0,0,0,72
113,ŠK‘wŠm”F‚P,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",2,24,24,4,ŠK‘wŠm”F,0,1,"2017/4/16 0:49",0,0,0,73
114,ŠK‘wŠm”F‚Q,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",2,24,113,1,ŠK‘wŠm”F,0,1,"2017/4/16 0:49",0,0,0,74
115,ŠK‘wŠm”F‚R,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",3,24,114,0,ŠK‘wŠm”F,0,1,"2017/4/16 0:49",0,0,0,75
116,ŠK‘wŠm”F2,ŠK‘wŠm”F,2017/4/4,18:00,2017/4/4,2017/4/4,100,1,"no comment",2,24,113,0,ŠK‘wŠm”F,0,1,"2017/4/16 0:49",0,0,0,76
